source_id,api_name,api_mode,api_version,source_url,schema_name,type,description,property_count,required_count
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,AbortJourneyDto,object,DTO to abort journey,2,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,AbortJourneyDtoServiceRequest,object,Service request data,1,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,AbortMultipleJourneysDto,object,DTO representing aborting journeys in bulk,3,1
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,AbortMultipleJourneysDtoServiceRequest,object,Service request data,1,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,AccessLayerDto,object,DTO representing access layers attached,2,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,ApproveAction,object,,3,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,ApproveActionServiceRequest,object,Service request data,1,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,Approver,object,,4,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,ChannelTypeDto,string,,0,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CloneJourneyScheduleVersionDto,object,Request DTO representing clone journey Schedule data,2,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CloneJourneyScheduleVersionDtoServiceRequest,object,Service request data,1,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CloneJourneyScheduleVersionResponse,object,Cloned journey schedule response data,1,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CloneJourneyScheduleVersionResponseServiceResponse,object,Service response data,2,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CloneJourneySchemaVersionDto,object,Request DTO representing clone journey schema data,4,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CloneJourneySchemaVersionDtoServiceRequest,object,Service request data,1,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CloneJourneySchemaVersionResponse,object,Cloned journey schema response data,1,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CloneJourneySchemaVersionResponseServiceResponse,object,Service response data,2,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,ConditionDefinitionDto,object,Represents condition,9,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,ConditionDto,object,Represents condition root,5,3
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,ConditionalValueDto,object,,8,2
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CreateJourneyInstanceDto,object,Request DTO representing journey instance to create,5,1
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CreateJourneyInstanceDtoServiceRequest,object,Service request data,1,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CreateJourneyLaunchControlsDto,object,Request DTO representing journey launch controls data,4,2
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CreateJourneyLaunchControlsDtoServiceRequest,object,Service request data,1,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CreateJourneyLaunchControlsResponseDto,object,,1,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CreateJourneyLaunchControlsResponseDtoServiceResponse,object,Service response data,2,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CreateJourneySchemaDraftFromVersionResponse,object,,2,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CreateJourneySchemaDraftFromVersionResponseServiceResponse,object,Service response data,2,0
journeycommand_v1,journey,command,1.0,https://api.fenergox.com/journeycommand/swagger/1.0/swagger.json,CustomStatusUpdateDto,object,Request DTO representing journey custom status update data,1,0
