source_id,api_name,api_mode,api_version,source_url,path,method,operation_id,name,in,required,type,description
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/configuration,get,,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/{journeyInstanceId},get,GetJourneyInstanceById,journeyInstanceId,path,True,string,Journey instance id
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/{journeyInstanceId},get,GetJourneyInstanceById,If-None-Match,header,False,string,ETag value from previous API response. Should be used to optimize the short polling. Must be wrapped in double quotes.
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/{journeyInstanceId},get,GetJourneyInstanceById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/{journeyInstanceId}/task/{taskId},get,GetTaskById,journeyInstanceId,path,True,string,Journey instance id
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/{journeyInstanceId}/task/{taskId},get,GetTaskById,taskId,path,True,string,Task id
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/{journeyInstanceId}/task/{taskId},get,GetTaskById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/search,get,GetInstancesByEntityId,entityId,query,True,string,Entity id
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/search,get,GetInstancesByEntityId,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/{journeyInstanceId}/linked-journeys,get,GetLinkedJourneysById,journeyInstanceId,path,True,string,Parent Journey instance id
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/{journeyInstanceId}/linked-journeys,get,GetLinkedJourneysById,onlyActive,query,True,boolean,If set to `true` return only linked journeys with Active status otherwise it will return everything including Rejected.
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/{journeyInstanceId}/linked-journeys,get,GetLinkedJourneysById,applicationType,query,False,,Name of the initial triggered service
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/{journeyInstanceId}/linked-journeys,get,GetLinkedJourneysById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/{journeyInstanceId}/linked-journeys,post,GetLinkedJourneysByIdV2,journeyInstanceId,path,True,string,Parent Journey instance id
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/{journeyInstanceId}/linked-journeys,post,GetLinkedJourneysByIdV2,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/lifecycle-status/entity/{entityId},get,GetLifecycleStatusByEntityId,entityId,path,True,string,Entity id
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/lifecycle-status/entity/{entityId},get,GetLifecycleStatusByEntityId,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/launch-journey/{businessProcessId},get,GetLaunchJourneyBusinessProcess,businessProcessId,path,True,string,Business process id
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-instance/launch-journey/{businessProcessId},get,GetLaunchJourneyBusinessProcess,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-launch-controls/{id},get,GetJourneyLaunchControlsById,id,path,True,string,
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-launch-controls/{id},get,GetJourneyLaunchControlsById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-launch-controls,get,GetJourneyLaunchControls,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schedule,get,GetAllJourneySchedules,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schedule/{journeyScheduleId},get,GetJourneyScheduleById,journeyScheduleId,path,True,string,Journey Schedule id
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schedule/{journeyScheduleId},get,GetJourneyScheduleById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schedule/{journeyScheduleId}/version/{versionNumber},get,GetJourneyScheduleVersionById,journeyScheduleId,path,True,string,Journey Schedule id
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schedule/{journeyScheduleId}/version/{versionNumber},get,GetJourneyScheduleVersionById,versionNumber,path,True,integer,Journey Schedule version number
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schedule/{journeyScheduleId}/version/{versionNumber},get,GetJourneyScheduleVersionById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schedule-date/search,get,GetScheduleDatesByScheduleDate,scheduleDate,query,True,string,The date the journeys are scheduled for launch e.g. 2019-01-31
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schedule-date/search,get,GetScheduleDatesByScheduleDate,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schedule-date/{journeyScheduleDateId},get,GetJourneyScheduleDateById,journeyScheduleDateId,path,True,string,Journey Schedule id
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schedule-date/{journeyScheduleDateId},get,GetJourneyScheduleDateById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schema/lite,get,GetAllJourneySchemasLite,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schema/{journeySchemaId},get,GetJourneySchemaById,journeySchemaId,path,True,string,Journey schema id
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schema/{journeySchemaId},get,GetJourneySchemaById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schema/{journeySchemaId}/version/{versionNumber},get,GetJourneySchemaVersionById,journeySchemaId,path,True,string,Journey schema id
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schema/{journeySchemaId}/version/{versionNumber},get,GetJourneySchemaVersionById,versionNumber,path,True,integer,Journey schema version number
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schema/{journeySchemaId}/version/{versionNumber},get,GetJourneySchemaVersionById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schema/{journeySchemaId}/version/{versionNumber}/export,get,ExportJourneySchemaVersionById,journeySchemaId,path,True,string,Journey schema id
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schema/{journeySchemaId}/version/{versionNumber}/export,get,ExportJourneySchemaVersionById,versionNumber,path,True,integer,Journey schema version number
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/journey-schema/{journeySchemaId}/version/{versionNumber}/export,get,ExportJourneySchemaVersionById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
journeyquery_v1,journey,query,1.0,https://api.fenergox.com/journeyquery/swagger/1.0/swagger.json,/api/sla-configuration,get,,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
