source_id,api_name,api_mode,api_version,source_url,path,method,operation_id,summary,description,tags,deprecated
lookupcommand_v1,lookup,command,1.0,https://api.fenergox.com/lookupcommand/swagger/1.0/swagger.json,/api/lookup,post,CreateLookup,Create a new Lookup using values as the source of truth, This method creates new Lookups with a first draft version.  The new version initializes with the DTO data and has the default status of Draft                 and the Author as the only required Signee.<br /><br /><b>Required permissions:</b><br />Following permissions are required: ReferenceDataEditorEdit,Lookup,False
lookupcommand_v1,lookup,command,1.0,https://api.fenergox.com/lookupcommand/swagger/1.0/swagger.json,/api/lookup/items,post,CreateLookupItems,Create a new Lookup using items as the source of truth, This method creates new Lookups with a first draft version.  The new version initializes with the DTO data and has the default status of Draft                 and the Author as the only required Signee.<br /><br /><b>Required permissions:</b><br />Following permissions are required: ReferenceDataEditorEdit,Lookup,False
lookupcommand_v1,lookup,command,1.0,https://api.fenergox.com/lookupcommand/swagger/1.0/swagger.json,/api/lookup/{lookupId},put,UpdateLookup,Update Lookups Settings.," Update the settings of a lookup, specifically the IsSystemLookup flag.  To convert to a system lookup, set IsSystemLookup to (true), and to revert to a standard lookup set it to (false)  This affect to all versions of a Lookup<br /><br /><b>Required permissions:</b><br />Following permissions are required: ReferenceDataEditorEdit",Lookup,False
lookupcommand_v1,lookup,command,1.0,https://api.fenergox.com/lookupcommand/swagger/1.0/swagger.json,/api/lookup/{lookupId},delete,DeleteLookup,Delete Lookup and all it's versions, This method deletes an existing Lookup as well as all its versions.<br /><br /><b>Required permissions:</b><br />Following permissions are required: ReferenceDataEditorDelete,Lookup,False
lookupcommand_v1,lookup,command,1.0,https://api.fenergox.com/lookupcommand/swagger/1.0/swagger.json,/api/lookup/{lookupId},post,CreateLookupVersion,Create a new Version for an existing Lookup using Values as the source of truth," This method creates a new Lookup version, using values as the source of truth  The new version initializes with the DTO data. It is assigned the next available version number,             the default status of Draft and the Author as the only required Signee.<br /><br /><b>Required permissions:</b><br />Following permissions are required: ReferenceDataEditorEdit",Lookup,False
lookupcommand_v1,lookup,command,1.0,https://api.fenergox.com/lookupcommand/swagger/1.0/swagger.json,/api/lookup/bulk-delete,post,BulkDeleteLookup,Bulk Delete Lookups, This method bulk deletes existing Lookups as well as all their versions.<br /><br /><b>Required permissions:</b><br />Following permissions are required: ReferenceDataEditorDelete,Lookup,False
lookupcommand_v1,lookup,command,1.0,https://api.fenergox.com/lookupcommand/swagger/1.0/swagger.json,/api/lookup/{lookupId}/items,post,CreateLookupVersionItems,Create a new Version for an existing Lookup using Items as the source of truth," This method creates a new Lookup version, using items as the source of truth  The new version initializes with the DTO data. It is assigned the next available version number,             the default status of Draft and the Author as the only required Signee.<br /><br /><b>Required permissions:</b><br />Following permissions are required: ReferenceDataEditorEdit",Lookup,False
lookupcommand_v1,lookup,command,1.0,https://api.fenergox.com/lookupcommand/swagger/1.0/swagger.json,/api/lookup/{lookupId}/version/{versionNumber},put,UpdateLookupVersion,Updates an existing Version of a Lookup using Values as the source of truth, This method updates an existing Lookup version using Values as the source of truth.  Only Draft and Rejected versions are allowed to be updated.<br /><br /><b>Required permissions:</b><br />Following permissions are required: ReferenceDataEditorEdit,Lookup,False
lookupcommand_v1,lookup,command,1.0,https://api.fenergox.com/lookupcommand/swagger/1.0/swagger.json,/api/lookup/{lookupId}/version/{versionNumber},delete,DeleteLookupVersion,Delete an existing Version of a Lookup," This method deletes the selected version of an existing Lookup.                 If the version is the last one, then the version number of it will become the next available one for the model.                 Otherwise, the version number will be flagged as Deleted and become unavailable.<br /><br /><b>Required permissions:</b><br />Following permissions are required: ReferenceDataEditorDelete",Lookup,False
lookupcommand_v1,lookup,command,1.0,https://api.fenergox.com/lookupcommand/swagger/1.0/swagger.json,/api/lookup/{lookupId}/version/{versionNumber}/items,put,UpdateLookupVersionItems,Updates an existing Version of a Lookup using the items as the source of truth, This method updates an existing Lookup version using the items as the source of truth.  Only Draft and Rejected versions are allowed to be updated.<br /><br /><b>Required permissions:</b><br />Following permissions are required: ReferenceDataEditorEdit,Lookup,False
