source_id,api_name,api_mode,api_version,source_url,path,method,operation_id,summary,description,tags,deprecated
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup,get,GetAllLookups,Gets all Lookups for the client tenant., This method returns all Lookups for given tenant<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,Lookup,True
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup,post,GetLookupsByIds,Gets a list of lookups and their active version from a list of Ids, This method returns a list of lookups with their active version from a list of Ids<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,Lookup,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup/active,get,GetAllActiveLookups,Gets all Lookups active version for the client tenant., This method returns all Lookups with only the active for a given tenant<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,Lookup,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup/lite,get,GetAllLookupsLite,Gets all Lookups (lite), This method returns all Lookups for given tenant.                 This is lite endpoint and will not return the definitions of the values and signees.<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,Lookup,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup/lite/v2,get,GetAllLookupsLiteV2,Gets all Lookups V2 (lite) with the option of including/excluding versions, This method returns all Lookups with/without their underlying versions for given tenant.                 This is lite endpoint and will not return the definitions of the values and signees.<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,Lookup,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup/lite/paged,get,GetAllLookupsLitePaged,Gets all Lookups (lite) paged, This method returns all Lookups for given tenant.                 This is lite endpoint and will not return the definitions of the values and signees .<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,Lookup,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup/counts/total,get,GetLookupsTotalCount,Retrieves the total count of Lookups for the client tenant.,<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,Lookup,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup/{lookupId},get,GetLookupById,Get the active version of an existing Lookup by ID," This method returns the active, currently in effect, published version for a given lookup<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess",Lookup,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup/{lookupId}/version/{versionNumber},get,GetLookupVersionById,Get a specific version of an existing Lookup," This method returns the, specified by number, version for a given Lookup<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess",Lookup,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup/name/{lookupName},get,GetLookupByName,Get the active version of an existing Lookup by Name," This method returns the active, currently in effect, published version for a given lookup<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess",Lookup,False
lookupquery_v1,lookup,query,1.0,https://api.fenergox.com/lookupquery/swagger/1.0/swagger.json,/api/lookup/{lookupId}/detailed,get,GetDetailedLookupById,Get detailed lookup by ID with all versions, This method returns the detailed lookup with all versions<br /><br /><b>Required permissions:</b><br />Following permissions are required: LookupAccess,Lookup,False
