source_id,api_name,api_mode,api_version,source_url,path,method,operation_id,name,in,required,type,description
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/data-group,get,GetAllDataGroups,onlyPublishedAndArchived,query,False,boolean,Flag that indicate that we will return only versions with status Published and Archived
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/data-group,get,GetAllDataGroups,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/data-group/latest,get,GetLatestDataGroups,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/data-group/lite,get,GetDataGroupsLite,onlyPublishedAndArchived,query,False,boolean,Flag that indicate that we will return only versions with status Published and Archived
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/data-group/lite,get,GetDataGroupsLite,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/data-group/{dataGroupId},get,GetDataGroupById,dataGroupId,path,True,string,Data group id
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/data-group/{dataGroupId},get,GetDataGroupById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/data-group/{dataGroupId}/version/{versionNumber},get,GetDataGroupVersionById,dataGroupId,path,True,string,Data group id
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/data-group/{dataGroupId}/version/{versionNumber},get,GetDataGroupVersionById,versionNumber,path,True,integer,Data group version number
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/data-group/{dataGroupId}/version/{versionNumber},get,GetDataGroupVersionById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/data-group/{dataGroupId}/version/{versionNumber}/field/{id},get,GetDataGroupFieldById,dataGroupId,path,True,string,Data group id
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/data-group/{dataGroupId}/version/{versionNumber}/field/{id},get,GetDataGroupFieldById,versionNumber,path,True,integer,Data group version number
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/data-group/{dataGroupId}/version/{versionNumber}/field/{id},get,GetDataGroupFieldById,id,path,True,string,Data group field id
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/data-group/{dataGroupId}/version/{versionNumber}/field/{id},get,GetDataGroupFieldById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/data-group/versions,post,GetDataGroups,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/requirement-set/light,post,GetRequirenmentSetsByIdsLight,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/requirement-set/{setId}/version/{versionNumber}/light,get,GetRequirementSetVersionLightById,setId,path,True,string,Requirement set id
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/requirement-set/{setId}/version/{versionNumber}/light,get,GetRequirementSetVersionLightById,versionNumber,path,True,integer,Requirement set version number
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/requirement-set/{setId}/version/{versionNumber}/light,get,GetRequirementSetVersionLightById,excludeRequirements,query,False,boolean,Flag indicating if query should return light requirements of version
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/requirement-set/{setId}/version/{versionNumber}/light,get,GetRequirementSetVersionLightById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/requirement-set/{versionId}/requirements,get,GetRequirementsByVersionIdPaged,versionId,path,True,string,Requirement set version id
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,/api/v2/requirement-set/{versionId}/requirements,get,GetRequirementsByVersionIdPaged,pageSize,query,False,integer,Maximum page size
