source_id,api_name,api_mode,api_version,source_url,schema_name,property_path,payload_json_path,json_pointer,property_name,type,format,required,nullable,description,enum,ref,item_type,item_ref,example
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,AccessLayerDto,geographic,$.geographic,#/components/schemas/AccessLayerDto/properties/geographic,geographic,array,,False,True,"Collection of geographic access layers e.g. [""Global""]",,,string,,
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,AccessLayerDto,businessRelated,$.businessRelated,#/components/schemas/AccessLayerDto/properties/businessRelated,businessRelated,array,,False,True,"Collection of business related access layers e.g. [""Global""]",,,string,,
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,AccountRelatedFundDto,properties,$.properties,#/components/schemas/AccountRelatedFundDto/properties/properties,properties,,,False,True,Generic properties,,,,,
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,AccountRelatedFundsDataSource,dataSource,$.dataSource,#/components/schemas/AccountRelatedFundsDataSource/properties/dataSource,dataSource,string,,False,True,,,,,,
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,AccountRelatedFundsDataSource,accountRelatedFunds,$.accountRelatedFunds,#/components/schemas/AccountRelatedFundsDataSource/properties/accountRelatedFunds,accountRelatedFunds,array,,False,True,,,,object,#/components/schemas/AccountRelatedFundDto,
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,AccountRelatedFundsDataSource,accountRelatedFunds[].properties,$.accountRelatedFunds[*].properties,#/components/schemas/AccountRelatedFundsDataSource/properties/accountRelatedFunds/items/properties/properties,properties,,,False,True,Generic properties,,,,,
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,AlertAssessmentDataSource,dataSource,$.dataSource,#/components/schemas/AlertAssessmentDataSource/properties/dataSource,dataSource,string,,False,True,,,,,,
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,AlertAssessmentDataSource,assessments,$.assessments,#/components/schemas/AlertAssessmentDataSource/properties/assessments,assessments,array,,False,True,,,,object,#/components/schemas/AlertAssessmentDto,
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,AlertAssessmentDataSource,assessments[].category,$.assessments[*].category,#/components/schemas/AlertAssessmentDataSource/properties/assessments/items/properties/category,category,string,,False,True,,,,,,
policyquery_v2,policy,query,2.0,https://api.fenergox.com/policyquery/swagger/2.0/swagger.json,AlertAssessmentDataSource,lastAssessment,$.lastAssessment,#/components/schemas/AlertAssessmentDataSource/properties/lastAssessment,lastAssessment,,,False,True,,,,,,
