source_id,api_name,api_mode,api_version,source_url,path,method,operation_id,status_code,description,content_type,schema_ref,schema_type
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set,post,CreateProductRequirementSet,202,Success. Product requirement set created,application/json,#/components/schemas/CreateProductRequirementSetResponseServiceResponse,object
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set,post,CreateProductRequirementSet,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set,post,CreateProductRequirementSet,401,User is not authorized to perform this request,application/json,,
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set,post,CreateProductRequirementSet,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set,post,CreateProductRequirementSet,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set,post,CreateProductRequirementSet,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},post,CreateProductRequirementSetVersion,202,Success. Product requirement set version created,application/json,#/components/schemas/ProductRequirementSetDtoServiceResponse,object
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},post,CreateProductRequirementSetVersion,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},post,CreateProductRequirementSetVersion,404,Resource not found,application/json,#/components/schemas/ObjectServiceResponse,object
productpolicycommand_v1,productpolicy,command,1.0,https://api.fenergox.com/productpolicycommand/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},post,CreateProductRequirementSetVersion,401,User is not authorized to perform this request,application/json,,
