source_id,api_name,api_mode,api_version,source_url,path,method,operation_id,summary,description,tags,deprecated
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set,get,GetAllProductRequirementSets,Get requirement sets,"<ul>   <li>Returns all requirement sets and theirs requirements if specified in the parameter.</li>   <li>Returns only requirement sets by default.</li> </ul><br /><br /><b>Required permissions:</b><br />At least one of the following permissions is required: ProductConfigurationSearch, ProductConfigurationAccess",ProductRequirementSet,False
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},get,GetProductRequirementSetById,Get product requirement set by id," Returns the active, currently in effect, published product requirement set version for a given id.<br /><br /><b>Required permissions:</b><br />At least one of the following permissions is required: ProductConfigurationSearch, ProductConfigurationAccess",ProductRequirementSet,False
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},get,GetProductRequirementSetVersionById,Get product requirement set by id and version," Returns product requirement set for a given id and version number.<br /><br /><b>Required permissions:</b><br />At least one of the following permissions is required: ProductConfigurationSearch, ProductConfigurationAccess",ProductRequirementSet,False
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber}/field/{id},get,GetProductRequirementById,Get requirement by id," Returns requirement by given product requirement set id, requirement set version number and requirement id.<br /><br /><b>Required permissions:</b><br />At least one of the following permissions is required: ProductConfigurationSearch, ProductConfigurationAccess",ProductRequirementSet,False
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/jurisdictions,get,GetJurisdictions,Get jurisdictions,"<ul>   <li>Returns all jurisdictions available in tenant product requirement sets</li> </ul><br /><br /><b>Required permissions:</b><br />At least one of the following permissions is required: ProductConfigurationSearch, ProductConfigurationAccess",ProductRequirementSet,False
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/merged-data-fields,post,GetMergedProductRequirementSetsDataFields,Gets summary of data fields from all jurisdictions merged by property name,"<br /><br /><b>Required permissions:</b><br />At least one of the following permissions is required: ProductConfigurationSearch, ProductConfigurationAccess",GetMergedProductRequirementSetsDataFields,False
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/fields/grouped-lookup-options,post,GetFieldsGroupedLookupOptions,Gets grouped lookup options for fields based on specified criteria,<br /><br /><b>Required permissions:</b><br />Following permissions are required: ProductConfigurationSearch,GetFieldsGroupedLookupOptions,False
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirements-in-scope/evaluate,post,EvaluateProductRequirementsInScope,Evaluate Product Requirements in scope," Returns nonconditional and evaluated conditional Product Requirements that are in scope for a given search criteria and entity parameters.<br /><br /><b>Required permissions:</b><br />At least one of the following permissions is required: ProductConfigurationSearch, ProductConfigurationAccess",ProductRequirementsInScope,False
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirements-in-scope/evaluate-all-requirements,post,EvaluateAllProductRequirements,Evaluate All Product Requirements in scope," Returns all Product Requirements that are in scope for a given search criteria and entity parameters.<br /><br /><b>Required permissions:</b><br />At least one of the following permissions is required: ProductConfigurationSearch, ProductConfigurationAccess",ProductRequirementsInScope,False
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirements-in-scope/search,post,SearchProductRequirements,Search Product Requirements," Returns Product Requirements that are in scope for a given search criteria.<br /><br /><b>Required permissions:</b><br />At least one of the following permissions is required: ProductConfigurationSearch, ProductConfigurationAccess",ProductRequirementsInScope,False
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirements-in-scope,post,GetProductRequirementsInScope,Get product requirements in scope," Returns deduplicated Product Requirements that are in scope for a given search criteria.<br /><br /><b>Required permissions:</b><br />At least one of the following permissions is required: ProductConfigurationSearch, ProductConfigurationAccess",ProductRequirementsInScope,False
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/scoping-rule-set,get,GetAllScopingRuleSets,Get scopingRule sets,"<ul>   <li>Returns all scopingRule sets and theirs scopingRules if specified in the parameter.</li>   <li>Returns only scopingRule sets by default.</li> </ul><br /><br /><b>Required permissions:</b><br />At least one of the following permissions is required: ProductConfigurationSearch, ProductConfigurationAccess",ScopingRuleSet,False
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/scoping-rule-set/{setId},get,GetScopingRuleSetById,Get scoping rule set by id," Returns the active, currently in effect, published scoping rule set version for a given id.<br /><br /><b>Required permissions:</b><br />At least one of the following permissions is required: ProductConfigurationSearch, ProductConfigurationAccess",ScopingRuleSet,False
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/scoping-rule-set/{setId}/version/{versionNumber},get,GetScopingRuleSetVersionById,Get scoping rule set by id and version," Returns scoping rule set for a given id and version number.<br /><br /><b>Required permissions:</b><br />At least one of the following permissions is required: ProductConfigurationSearch, ProductConfigurationAccess",ScopingRuleSet,False
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/scoping-rule-set/activeVersions,get,GetActiveScopingRuleSetVersions,Get active scoping rule sets," Returns active scoping rule sets.<br /><br /><b>Required permissions:</b><br />At least one of the following permissions is required: ProductConfigurationSearch, ProductConfigurationAccess",ScopingRuleSet,False
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/scoping-rule-set/activeVersions/{type},get,GetActiveScopingRuleSetVersionsByType,Get active scoping rule sets by type," Returns active scoping rule sets by type.<br /><br /><b>Required permissions:</b><br />At least one of the following permissions is required: ProductConfigurationSearch, ProductConfigurationAccess",ScopingRuleSet,False
