source_id,api_name,api_mode,api_version,source_url,path,method,operation_id,name,in,required,type,description
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set,get,GetAllProductRequirementSets,includeRequirements,query,False,boolean,Flag to include product requirements in the response.
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set,get,GetAllProductRequirementSets,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},get,GetProductRequirementSetById,setId,path,True,string,Product requirement set id
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},get,GetProductRequirementSetById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},get,GetProductRequirementSetVersionById,setId,path,True,string,Product requirement set id
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},get,GetProductRequirementSetVersionById,versionNumber,path,True,integer,Product requirement set version number
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},get,GetProductRequirementSetVersionById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber}/field/{id},get,GetProductRequirementById,setId,path,True,string,Product requirement set id
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber}/field/{id},get,GetProductRequirementById,versionNumber,path,True,integer,Product requirement set version number
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber}/field/{id},get,GetProductRequirementById,id,path,True,string,Product requirement id
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber}/field/{id},get,GetProductRequirementById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/jurisdictions,get,GetJurisdictions,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/merged-data-fields,post,GetMergedProductRequirementSetsDataFields,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/fields/grouped-lookup-options,post,GetFieldsGroupedLookupOptions,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirements-in-scope/evaluate,post,EvaluateProductRequirementsInScope,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirements-in-scope/evaluate-all-requirements,post,EvaluateAllProductRequirements,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirements-in-scope/search,post,SearchProductRequirements,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirements-in-scope,post,GetProductRequirementsInScope,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/scoping-rule-set,get,GetAllScopingRuleSets,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/scoping-rule-set/{setId},get,GetScopingRuleSetById,setId,path,True,string,Scoping rule set id
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/scoping-rule-set/{setId},get,GetScopingRuleSetById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/scoping-rule-set/{setId}/version/{versionNumber},get,GetScopingRuleSetVersionById,setId,path,True,string,scoping rule set id
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/scoping-rule-set/{setId}/version/{versionNumber},get,GetScopingRuleSetVersionById,versionNumber,path,True,integer,scoping rule set version number
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/scoping-rule-set/{setId}/version/{versionNumber},get,GetScopingRuleSetVersionById,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/scoping-rule-set/activeVersions,get,GetActiveScopingRuleSetVersions,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/scoping-rule-set/activeVersions/{type},get,GetActiveScopingRuleSetVersionsByType,type,path,True,,
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/scoping-rule-set/activeVersions/{type},get,GetActiveScopingRuleSetVersionsByType,X-TENANT-ID,header,True,string,The UiD of the tenant representing organization
