source_id,api_name,api_mode,api_version,source_url,path,method,operation_id,status_code,description,content_type,schema_ref,schema_type
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set,get,GetAllProductRequirementSets,200,Success. List of product requirement sets data is returned,application/json,#/components/schemas/ProductRequirementSetDtoIEnumerableServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set,get,GetAllProductRequirementSets,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set,get,GetAllProductRequirementSets,401,User is not authorized to perform this request,application/json,,
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set,get,GetAllProductRequirementSets,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set,get,GetAllProductRequirementSets,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set,get,GetAllProductRequirementSets,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},get,GetProductRequirementSetById,200,Success. Product requirement set is returned,application/json,#/components/schemas/ProductRequirementSetVersionDtoServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},get,GetProductRequirementSetById,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},get,GetProductRequirementSetById,404,Resource not found,application/json,#/components/schemas/ObjectServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},get,GetProductRequirementSetById,401,User is not authorized to perform this request,application/json,,
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},get,GetProductRequirementSetById,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},get,GetProductRequirementSetById,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId},get,GetProductRequirementSetById,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},get,GetProductRequirementSetVersionById,200,Success. Product requirement set is returned,application/json,#/components/schemas/ProductRequirementSetVersionDtoServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},get,GetProductRequirementSetVersionById,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},get,GetProductRequirementSetVersionById,404,Resource not found,application/json,#/components/schemas/ObjectServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},get,GetProductRequirementSetVersionById,401,User is not authorized to perform this request,application/json,,
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},get,GetProductRequirementSetVersionById,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},get,GetProductRequirementSetVersionById,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber},get,GetProductRequirementSetVersionById,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,/api/product-requirement-set/{setId}/version/{versionNumber}/field/{id},get,GetProductRequirementById,200,Success. Product requirement is returned,application/json,#/components/schemas/ProductRequirementDtoServiceResponse,object
