source_id,api_name,api_mode,api_version,source_url,schema_name,property_path,payload_json_path,json_pointer,property_name,type,format,required,nullable,description,enum,ref,item_type,item_ref,example
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,AccessLayer,businessRelated,$.businessRelated,#/components/schemas/AccessLayer/properties/businessRelated,businessRelated,array,,False,True,,,,string,,
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,AccessLayer,geographic,$.geographic,#/components/schemas/AccessLayer/properties/geographic,geographic,array,,False,True,,,,string,,
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,AccessLayerDto,geographic,$.geographic,#/components/schemas/AccessLayerDto/properties/geographic,geographic,array,,False,True,"Collection of geographic access layers e.g. [""Global""]",,,string,,
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,AccessLayerDto,businessRelated,$.businessRelated,#/components/schemas/AccessLayerDto/properties/businessRelated,businessRelated,array,,False,True,"Collection of business related access layers e.g. [""Global""]",,,string,,
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,AccountRelatedFundDto,properties,$.properties,#/components/schemas/AccountRelatedFundDto/properties/properties,properties,,,False,True,,,,,,
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,AccountRelatedFundsDataSource,dataSource,$.dataSource,#/components/schemas/AccountRelatedFundsDataSource/properties/dataSource,dataSource,string,,False,True,,,,,,
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,AccountRelatedFundsDataSource,accountRelatedFunds,$.accountRelatedFunds,#/components/schemas/AccountRelatedFundsDataSource/properties/accountRelatedFunds,accountRelatedFunds,array,,False,True,,,,object,#/components/schemas/AccountRelatedFundDto,
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,AccountRelatedFundsDataSource,accountRelatedFunds[].properties,$.accountRelatedFunds[*].properties,#/components/schemas/AccountRelatedFundsDataSource/properties/accountRelatedFunds/items/properties/properties,properties,,,False,True,,,,,,
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,ActiveScopingRuleSetVersionResponseDto,id,$.id,#/components/schemas/ActiveScopingRuleSetVersionResponseDto/properties/id,id,string,uuid,False,False,The UiD of the scoping ruleset version,,,,,118313c6-91e6-4b05-a537-5a1ab906418f
productpolicyquery_v1,productpolicy,query,1.0,https://api.fenergox.com/productpolicyquery/swagger/1.0/swagger.json,ActiveScopingRuleSetVersionResponseDto,setId,$.setId,#/components/schemas/ActiveScopingRuleSetVersionResponseDto/properties/setId,setId,string,uuid,False,False,The UiD of the scoping rule set that the version belongs to,,,,,118313c6-91e6-4b05-a537-5a1ab906418f
