path,method,operation_id,status_code,description,content_type,schema_ref,schema_type
/api/data-group,get,GetAllDataGroups,200,Success. The list of data groups is returned,application/json,#/components/schemas/DataGroupDtoIEnumerableServiceResponse,object
/api/data-group,get,GetAllDataGroups,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
/api/data-group,get,GetAllDataGroups,401,User is not authorized to perform this request,application/json,,
/api/data-group,get,GetAllDataGroups,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
/api/data-group,get,GetAllDataGroups,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
/api/data-group,get,GetAllDataGroups,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
/api/data-group/latest,get,GetLatestDataGroups,200,Success. The list of data groups is returned,application/json,#/components/schemas/DataGroupVersionDtoListServiceResponse,object
/api/data-group/latest,get,GetLatestDataGroups,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
/api/data-group/latest,get,GetLatestDataGroups,401,User is not authorized to perform this request,application/json,,
/api/data-group/latest,get,GetLatestDataGroups,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
/api/data-group/latest,get,GetLatestDataGroups,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
/api/data-group/latest,get,GetLatestDataGroups,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
/api/data-group/lite,get,GetDataGroupsLite,200,Success. The list of data groups is returned,application/json,#/components/schemas/DataGroupLiteDtoIEnumerableServiceResponse,object
/api/data-group/lite,get,GetDataGroupsLite,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
/api/data-group/lite,get,GetDataGroupsLite,401,User is not authorized to perform this request,application/json,,
/api/data-group/lite,get,GetDataGroupsLite,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
/api/data-group/lite,get,GetDataGroupsLite,500,"Internal server exception. Please, contact your provider.",application/json,#/components/schemas/ObjectServiceResponse,object
/api/data-group/lite,get,GetDataGroupsLite,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
/api/data-group/{dataGroupId},get,GetDataGroupById,200,Success. Data group is returned,application/json,#/components/schemas/DataGroupVersionDtoServiceResponse,object
/api/data-group/{dataGroupId},get,GetDataGroupById,400,Bad request. The request has missing/invalid values,application/json,#/components/schemas/ServiceResponse,object
/api/data-group/{dataGroupId},get,GetDataGroupById,404,Resource not found,application/json,#/components/schemas/ObjectServiceResponse,object
/api/data-group/{dataGroupId},get,GetDataGroupById,401,User is not authorized to perform this request,application/json,,
/api/data-group/{dataGroupId},get,GetDataGroupById,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
