source_id,api_name,api_mode,api_version,source_url,schema_name,type,description,property_count,required_count
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,ApproveAction,object,,3,0
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,ApproveActionServiceRequest,object,,1,0
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,Approver,object,,4,0
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,CloneScopingRuleSetVersionDto,object,Request DTO representing clone scoping rule set data,1,1
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,CloneScopingRuleSetVersionDtoServiceRequest,object,,1,0
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,CloneScopingRuleSetVersionResponseDto,object,Cloned scoping rule set response data,1,0
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,CloneScopingRuleSetVersionResponseDtoServiceResponse,object,,2,0
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,ConditionDefinitionDto,object,,9,0
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,ConditionDto,object,,5,0
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,CreateScopingRuleSetDto,object,DTO representing scoping rule set data needed for creation,3,2
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,CreateScopingRuleSetDtoServiceRequest,object,,1,0
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,CreateScopingRuleSetResponseDto,object,DTO representing scoping rule set data,8,3
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,CreateScopingRuleSetResponseDtoServiceResponse,object,,2,0
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,CreateScopingRuleSetVersionDto,object,DTO representing scoping rule set data needed for version creation,2,1
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,CreateScopingRuleSetVersionDtoServiceRequest,object,,1,0
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,Decision,string,,0,0
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,ModelVersionSignResponse,object,"Contains the new version Status, after a version sign operation",3,0
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,ModelVersionSignResponseServiceResponse,object,,2,0
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,ObjectServiceResponse,object,,2,0
riskcommand_v1,risk,command,1.0,https://api.fenergox.com/riskcommand/swagger/1.0/swagger.json,ProblemDetails,object,,5,0
