source_id,api_name,api_mode,api_version,source_url,path,method,operation_id,status_code,description,content_type,schema_ref,schema_type
riskquery_v1,risk,query,1.0,https://api.fenergox.com/riskquery/swagger/1.0/swagger.json,/api/risk-assessment,post,RiskAssessment,200,OK,text/plain,#/components/schemas/EntityRiskAssessmentServiceResponse,object
riskquery_v1,risk,query,1.0,https://api.fenergox.com/riskquery/swagger/1.0/swagger.json,/api/risk-assessment,post,RiskAssessment,200,OK,application/json,#/components/schemas/EntityRiskAssessmentServiceResponse,object
riskquery_v1,risk,query,1.0,https://api.fenergox.com/riskquery/swagger/1.0/swagger.json,/api/risk-assessment,post,RiskAssessment,200,OK,text/json,#/components/schemas/EntityRiskAssessmentServiceResponse,object
riskquery_v1,risk,query,1.0,https://api.fenergox.com/riskquery/swagger/1.0/swagger.json,/api/risk-assessment,post,RiskAssessment,400,Bad Request,text/plain,#/components/schemas/ServiceResponse,object
riskquery_v1,risk,query,1.0,https://api.fenergox.com/riskquery/swagger/1.0/swagger.json,/api/risk-assessment,post,RiskAssessment,400,Bad Request,application/json,#/components/schemas/ServiceResponse,object
riskquery_v1,risk,query,1.0,https://api.fenergox.com/riskquery/swagger/1.0/swagger.json,/api/risk-assessment,post,RiskAssessment,400,Bad Request,text/json,#/components/schemas/ServiceResponse,object
riskquery_v1,risk,query,1.0,https://api.fenergox.com/riskquery/swagger/1.0/swagger.json,/api/risk-assessment,post,RiskAssessment,500,An exception occurred while processing the command,,,
riskquery_v1,risk,query,1.0,https://api.fenergox.com/riskquery/swagger/1.0/swagger.json,/api/risk-assessment,post,RiskAssessment,401,User is not authorized to perform this request,application/json,,
riskquery_v1,risk,query,1.0,https://api.fenergox.com/riskquery/swagger/1.0/swagger.json,/api/risk-assessment,post,RiskAssessment,403,Access to resource is forbidden.,application/json,#/components/schemas/ObjectServiceResponse,object
riskquery_v1,risk,query,1.0,https://api.fenergox.com/riskquery/swagger/1.0/swagger.json,/api/risk-assessment,post,RiskAssessment,410,"Endpoint marked as deprecated was terminated. This response will be present only if the endpoint was marked as deprecated and has reached the sunset date. During the deprecation period, the API will include additional 'sunset' and 'deprecation' headers.",application/json,#/components/schemas/StringServiceResponse,object
riskquery_v1,risk,query,1.0,https://api.fenergox.com/riskquery/swagger/1.0/swagger.json,/api/risk-assessment/{taskId},get,GetRiskAssessmentByTaskId,200,OK,text/plain,#/components/schemas/RiskTaskResultModelServiceResponse,object
