schema_name,property_path,payload_json_path,json_pointer,property_name,type,format,required,nullable,description,enum,ref,item_type,item_ref,example
AccessLayerDto,geographic,$.geographic,#/components/schemas/AccessLayerDto/properties/geographic,geographic,array,,False,True,"Collection of geographic access layers e.g. [""Global""]",,,string,,
AccessLayerDto,businessRelated,$.businessRelated,#/components/schemas/AccessLayerDto/properties/businessRelated,businessRelated,array,,False,True,"Collection of business related access layers e.g. [""Global""]",,,string,,
ActiveSetVersionResponseDto,id,$.id,#/components/schemas/ActiveSetVersionResponseDto/properties/id,id,string,uuid,False,False,The UiD of the requirement set version,,,,,118313c6-91e6-4b05-a537-5a1ab906418f
ActiveSetVersionResponseDto,setId,$.setId,#/components/schemas/ActiveSetVersionResponseDto/properties/setId,setId,string,uuid,False,False,The UiD of the requirement set that the version belongs to,,,,,118313c6-91e6-4b05-a537-5a1ab906418f
ActiveSetVersionResponseDto,requirementSetStatus,$.requirementSetStatus,#/components/schemas/ActiveSetVersionResponseDto/properties/requirementSetStatus,requirementSetStatus,string,,False,True,Requirement set status,,,,,Active
ActiveSetVersionResponseDto,jurisdiction,$.jurisdiction,#/components/schemas/ActiveSetVersionResponseDto/properties/jurisdiction,jurisdiction,string,,False,True,Requirement set jurisdiction,,,,,Global
ActiveSetVersionResponseDto,versionNumber,$.versionNumber,#/components/schemas/ActiveSetVersionResponseDto/properties/versionNumber,versionNumber,integer,int32,False,False,The versions number,,,,,1
ActiveSetVersionResponseDto,effectiveFrom,$.effectiveFrom,#/components/schemas/ActiveSetVersionResponseDto/properties/effectiveFrom,effectiveFrom,string,date-time,False,False,The date that the version takes effect when published,,,,,2021-01-01T14:48:00.000Z
ActiveSetVersionResponseDto,effectiveUntil,$.effectiveUntil,#/components/schemas/ActiveSetVersionResponseDto/properties/effectiveUntil,effectiveUntil,string,date-time,False,True,The calculated date that the version ceases being active,,,,,2021-01-01T14:48:00.000Z
ActiveSetVersionResponseDto,status,$.status,#/components/schemas/ActiveSetVersionResponseDto/properties/status,status,,,False,False,The status of the version,,,,,Published
ActiveSetVersionResponseDto,created,$.created,#/components/schemas/ActiveSetVersionResponseDto/properties/created,created,string,date-time,False,False,The creation date of the version,,,,,2021-01-01T14:48:00.000Z
ActiveSetVersionResponseDto,version,$.version,#/components/schemas/ActiveSetVersionResponseDto/properties/version,version,integer,int32,False,False,Version number for given Aggregate (concurrency check),,,,,1
ActiveSetVersionResponseDtoServiceResponse,data,$.data,#/components/schemas/ActiveSetVersionResponseDtoServiceResponse/properties/data,data,,,False,True,Response DTO representing light requirement set version data,,,,,
ActiveSetVersionResponseDtoServiceResponse,messages,$.messages,#/components/schemas/ActiveSetVersionResponseDtoServiceResponse/properties/messages,messages,array,,False,True,List of Fenergo.Nebula.Platform.Core.Models.Response.ServiceResponseMessage associated to the service response,,,object,#/components/schemas/ServiceResponseMessage,
ActiveSetVersionResponseDtoServiceResponse,messages[].message,$.messages[*].message,#/components/schemas/ActiveSetVersionResponseDtoServiceResponse/properties/messages/items/properties/message,message,string,,False,True,The message,,,,,Success
ActiveSetVersionResponseDtoServiceResponse,messages[].type,$.messages[*].type,#/components/schemas/ActiveSetVersionResponseDtoServiceResponse/properties/messages/items/properties/type,type,string,,False,True,"Type of the message One of Info, Warning, Error, Forbidden",,,,,Info
ActiveSetVersionResponseDtoServiceResponse,messages[].errorCode,$.messages[*].errorCode,#/components/schemas/ActiveSetVersionResponseDtoServiceResponse/properties/messages/items/properties/errorCode,errorCode,string,,False,True,Error Code,,,,,INTERNAL_SERVER_ERROR
ApproveAction,comment,$.comment,#/components/schemas/ApproveAction/properties/comment,comment,string,,False,True,,,,,,
ApproveAction,decision,$.decision,#/components/schemas/ApproveAction/properties/decision,decision,,,False,False,,,,,,
ApproveAction,created,$.created,#/components/schemas/ApproveAction/properties/created,created,string,date-time,False,False,,,,,,
Approver,subject,$.subject,#/components/schemas/Approver/properties/subject,subject,string,,False,True,,,,,,
Approver,successor,$.successor,#/components/schemas/Approver/properties/successor,successor,,,False,True,,,,,,
Approver,action,$.action,#/components/schemas/Approver/properties/action,action,,,False,True,,,,,,
Approver,hasProcessedRequest,$.hasProcessedRequest,#/components/schemas/Approver/properties/hasProcessedRequest,hasProcessedRequest,boolean,,False,False,,,,,,
BasicRule,active,$.active,#/components/schemas/BasicRule/properties/active,active,boolean,,False,False,,,,,,
BasicRule,message,$.message,#/components/schemas/BasicRule/properties/message,message,string,,False,True,,,,,,
BasicRuleDto,errorMessage,$.errorMessage,#/components/schemas/BasicRuleDto/properties/errorMessage,errorMessage,string,,False,True,Validation rule error message,,,,,Validation error occurred
BasicRuleDto2,active,$.active,#/components/schemas/BasicRuleDto2/properties/active,active,boolean,,False,False,Validation rule active flag,,,,,True
BasicRuleDto2,message,$.message,#/components/schemas/BasicRuleDto2/properties/message,message,string,,False,True,Validation rule error message,,,,,Validation error occurred
BasicRuleDtoConditionalValidationRuleDto,isActive,$.isActive,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/isActive,isActive,boolean,,False,False,Validation rule active flag,,,,,True
BasicRuleDtoConditionalValidationRuleDto,staticRule,$.staticRule,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/staticRule,staticRule,,,False,True,Static validation rule always applied when active,,,,,
BasicRuleDtoConditionalValidationRuleDto,dynamicRules,$.dynamicRules,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/dynamicRules,dynamicRules,array,,False,True,Conditional validation rules,,,object,#/components/schemas/BasicRuleDtoConditionalValueDto,
BasicRuleDtoConditionalValidationRuleDto,dynamicRules[].id,$.dynamicRules[*].id,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/dynamicRules/items/properties/id,id,string,uuid,False,False,The ID of the condition,,,,,118313c6-91e6-4b05-a537-5a1ab906418f
BasicRuleDtoConditionalValidationRuleDto,dynamicRules[].name,$.dynamicRules[*].name,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/dynamicRules/items/properties/name,name,string,,False,True,The name of the condition,,,,,Company-type only
BasicRuleDtoConditionalValidationRuleDto,dynamicRules[].description,$.dynamicRules[*].description,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/dynamicRules/items/properties/description,description,string,,False,True,The description of the condition,,,,,Applicable only when EntityType=Company
BasicRuleDtoConditionalValidationRuleDto,dynamicRules[].logicalOperation,$.dynamicRules[*].logicalOperation,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/dynamicRules/items/properties/logicalOperation,logicalOperation,string,,False,True,Logical operation on the Fenergo.Nebula.Platform.LogicEngine.Model.Dto.ConditionDto.Operands collection,,,,,AND
BasicRuleDtoConditionalValidationRuleDto,dynamicRules[].operands,$.dynamicRules[*].operands,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/dynamicRules/items/properties/operands,operands,array,,False,True,"Collection of operands for given condition. These might contain additional, nested conditions of type Fenergo.Nebula.Platform.LogicEngine.Model.Dto.ConditionDefinitionDto",,,object,#/components/schemas/ConditionDefinitionDto,
BasicRuleDtoConditionalValidationRuleDto,dynamicRules[].operands[].fieldName,$.dynamicRules[*].operands[*].fieldName,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/dynamicRules/items/properties/operands/items/properties/fieldName,fieldName,string,,False,True,Name of the field to evaluate,,,,,EntityType
BasicRuleDtoConditionalValidationRuleDto,dynamicRules[].operands[].value,$.dynamicRules[*].operands[*].value,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/dynamicRules/items/properties/operands/items/properties/value,value,array,,False,True,List of values,,,string,,
BasicRuleDtoConditionalValidationRuleDto,dynamicRules[].operands[].valueId,$.dynamicRules[*].operands[*].valueId,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/dynamicRules/items/properties/operands/items/properties/valueId,valueId,array,,False,True,List of value ids,,,string,,
BasicRuleDtoConditionalValidationRuleDto,dynamicRules[].operands[].valueType,$.dynamicRules[*].operands[*].valueType,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/dynamicRules/items/properties/operands/items/properties/valueType,valueType,string,,False,True,Type of the value,,,,,text
BasicRuleDtoConditionalValidationRuleDto,dynamicRules[].operands[].dataSource,$.dynamicRules[*].operands[*].dataSource,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/dynamicRules/items/properties/operands/items/properties/dataSource,dataSource,string,,False,True,Data source from which field is retrieved. If empty then Entity Data properties will be used.,,,,,entityDataMetadata
BasicRuleDtoConditionalValidationRuleDto,dynamicRules[].operands[].operation,$.dynamicRules[*].operands[*].operation,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/dynamicRules/items/properties/operands/items/properties/operation,operation,string,,False,True,Logical operation to be performed to match the values,,,,,equal
BasicRuleDtoConditionalValidationRuleDto,dynamicRules[].operands[].logicalOperation,$.dynamicRules[*].operands[*].logicalOperation,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/dynamicRules/items/properties/operands/items/properties/logicalOperation,logicalOperation,string,,False,True,Logical operation to be performed on the operands collection,,,,,AND
BasicRuleDtoConditionalValidationRuleDto,dynamicRules[].operands[].operands,$.dynamicRules[*].operands[*].operands,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/dynamicRules/items/properties/operands/items/properties/operands,operands,array,,False,True,"Collection of operands for given condition. These might contain additional, nested conditions of type Fenergo.Nebula.Platform.LogicEngine.Model.Dto.ConditionDefinitionDto",,,object,#/components/schemas/ConditionDefinitionDto,
BasicRuleDtoConditionalValidationRuleDto,dynamicRules[].operands[].valueField,$.dynamicRules[*].operands[*].valueField,#/components/schemas/BasicRuleDtoConditionalValidationRuleDto/properties/dynamicRules/items/properties/operands/items/properties/valueField,valueField,,,False,True,Field value used for conditional limit validation,,,,,
